Epoch  59 | Time     4 | Train Loss 5.7218 | Test Loss 5.645 | Test Error 99.98
Epoch  60 | Time     4 | Train Loss 5.6889 | Test Loss 5.640 | Test Error 99.98
Epoch  61 | Time     4 | Train Loss 5.6915 | Test Loss 5.632 | Test Error 99.98
Epoch  62 | Time     4 | Train Loss 5.6656 | Test Loss 5.627 | Test Error 99.98
Epoch  63 | Time     4 | Train Loss 5.6639 | Test Loss 5.617 | Test Error 99.98
Epoch  64 | Time     4 | Train Loss 5.6327 | Test Loss 5.605 | Test Error 99.98
Epoch  65 | Time     4 | Train Loss 5.6741 | Test Loss 5.595 | Test Error 99.98
Epoch  66 | Time     4 | Train Loss 5.6476 | Test Loss 5.596 | Test Error 99.98
Epoch  67 | Time     5 | Train Loss 5.6356 | Test Loss 5.604 | Test Error 99.98
Epoch  68 | Time     4 | Train Loss 5.6488 | Test Loss 5.600 | Test Error 99.98
Epoch  69 | Time     4 | Train Loss 5.6117 | Test Loss 5.596 | Test Error 99.98
Epoch  70 | Time     4 | Train Loss 5.6450 | Test Loss 5.581 | Test Error 99.98
Epoch  71 | Time     4 | Train Loss 5.6271 | Test Loss 5.562 | Test Error 99.97
Epoch  72 | Time     4 | Train Loss 5.5751 | Test Loss 5.548 | Test Error 99.97
Epoch  73 | Time     4 | Train Loss 5.5934 | Test Loss 5.542 | Test Error 99.95
Epoch  74 | Time     5 | Train Loss 5.5673 | Test Loss 5.540 | Test Error 99.95
Epoch  75 | Time     5 | Train Loss 5.6315 | Test Loss 5.533 | Test Error 99.96
Epoch  76 | Time     4 | Train Loss 5.5553 | Test Loss 5.529 | Test Error 99.96
Epoch  77 | Time     4 | Train Loss 5.5959 | Test Loss 5.531 | Test Error 99.96
Epoch  78 | Time     4 | Train Loss 5.5710 | Test Loss 5.518 | Test Error 99.96
Epoch  79 | Time     4 | Train Loss 5.5374 | Test Loss 5.507 | Test Error 99.95
Epoch  80 | Time     4 | Train Loss 5.5297 | Test Loss 5.497 | Test Error 99.96
Epoch  81 | Time     4 | Train Loss 5.5138 | Test Loss 5.488 | Test Error 99.95
Epoch  82 | Time     4 | Train Loss 5.5199 | Test Loss 5.486 | Test Error 99.95
Epoch  83 | Time     4 | Train Loss 5.5048 | Test Loss 5.473 | Test Error 99.92
Epoch  84 | Time     4 | Train Loss 5.4956 | Test Loss 5.461 | Test Error 99.92
