epoch,time(s),train_loss,test_loss,test_error(%)
572,00004,2.418423,5.33012,99.98
573,00004,2.321025,5.32459,99.98
574,00004,2.327396,5.32321,99.99
575,00004,2.224127,5.32953,99.98
576,00004,2.270955,5.33673,99.99
577,00004,2.281346,5.33929,100.00
578,00004,2.333438,5.33798,100.00
579,00004,2.322511,5.33221,100.00
580,00004,2.309452,5.32937,99.99
581,00004,2.341602,5.32636,99.99
582,00004,2.304290,5.32256,99.99
583,00004,2.355664,5.31964,99.98
584,00004,2.390659,5.31790,99.98
585,00004,2.331431,5.31779,99.98
586,00004,2.316537,5.31827,99.98
587,00004,2.313245,5.31976,99.99
588,00005,2.272662,5.32111,99.99
589,00004,2.219793,5.32347,99.99
590,00004,2.372910,5.32682,99.99
591,00004,2.289052,5.33065,99.99
592,00004,2.318206,5.32906,99.99
593,00004,2.309413,5.32752,99.98
594,00004,2.338142,5.32489,99.98
595,00004,2.271579,5.32397,99.98
596,00004,2.271233,5.32344,99.99
597,00004,2.339782,5.32180,99.98
598,00004,2.298332,5.32249,99.99
599,00004,2.308998,5.32478,99.99
600,00004,2.183228,5.32755,99.99
601,00004,2.331788,5.32763,99.98
602,00004,2.199638,5.32696,99.98
603,00004,2.291802,5.32530,99.98
604,00004,2.311942,5.32415,99.98
605,00004,2.286978,5.32162,99.98
606,00004,2.345729,5.31579,99.98
607,00004,2.331584,5.31205,99.97
608,00004,2.211104,5.31285,99.97
609,00004,2.302579,5.31036,99.96
610,00004,2.302809,5.31172,99.96
611,00004,2.196032,5.31809,99.98
612,00004,2.280636,5.32104,99.98
613,00004,2.290503,5.32292,99.98
614,00004,2.256000,5.32614,99.98
615,00004,2.341991,5.32499,99.97
616,00004,2.267623,5.32236,99.98
617,00004,2.308993,5.31963,99.98
618,00004,2.274524,5.31890,99.98
619,00004,2.327479,5.31662,99.98
620,00004,2.265538,5.31457,99.98
621,00004,2.267564,5.31341,99.98
622,00004,2.277376,5.31100,99.98
623,00004,2.295363,5.31158,99.98
624,00004,2.330796,5.31417,99.98
625,00004,2.192259,5.31482,99.99
626,00004,2.336878,5.31502,99.99
627,00004,2.272964,5.31299,99.98
628,00004,2.314835,5.31637,99.98
629,00004,2.323787,5.32077,99.98
630,00004,2.256630,5.32429,99.98
631,00004,2.246155,5.32882,99.98
632,00004,2.211549,5.33161,99.98
633,00004,2.424558,5.32871,99.98
634,00004,2.333791,5.32590,99.98
635,00005,2.257505,5.32287,99.99
636,00004,2.275373,5.31933,99.98
637,00004,2.276836,5.32160,99.98
638,00004,2.345342,5.32478,99.98
639,00004,2.354603,5.32646,99.98
640,00004,2.161157,5.32765,99.98
641,00005,2.292676,5.32883,99.97
642,00004,2.257561,5.32771,99.98
643,00004,2.219255,5.32778,99.98
644,00004,2.220552,5.32538,99.99
645,00004,2.305905,5.32527,99.98
646,00004,2.329435,5.32630,99.99
647,00004,2.226881,5.32589,99.99
648,00004,2.225988,5.32643,99.98
649,00004,2.261690,5.32977,99.98
650,00004,2.259336,5.33507,99.98
651,00004,2.263721,5.34113,99.98
652,00004,2.231664,5.34250,99.98
653,00004,2.261346,5.34008,99.99
654,00004,2.317843,5.33961,99.99
655,00004,2.241925,5.33778,99.99
656,00004,2.307068,5.33271,99.98
657,00004,2.311449,5.33305,99.98
658,00004,2.163609,5.33139,99.98
659,00004,2.175256,5.33122,99.98
660,00004,2.217321,5.33246,99.98
661,00004,2.201158,5.33219,99.98
662,00004,2.305482,5.33152,99.98
663,00004,2.195294,5.33213,99.98
664,00004,2.174175,5.33150,99.98
665,00004,2.133105,5.32856,99.98
666,00004,2.231102,5.32438,99.98
667,00004,2.219560,5.31965,99.98
668,00004,2.172040,5.31565,99.98
669,00004,2.216075,5.31212,99.98
670,00004,2.323584,5.31274,99.98
671,00004,2.199350,5.31172,99.98
672,00004,2.203958,5.31149,99.97
673,00004,2.277637,5.31232,99.98
674,00004,2.325885,5.31389,99.98
675,00004,2.177031,5.31688,99.98
676,00004,2.292899,5.31824,99.98
677,00004,2.228977,5.32101,99.98
678,00004,2.216971,5.32133,99.98
679,00004,2.249307,5.32413,99.98
680,00004,2.217497,5.32910,99.98
681,00004,2.198236,5.33083,99.98
682,00004,2.261596,5.32641,99.98
683,00004,2.114972,5.32255,99.96
684,00004,2.261098,5.32248,99.97
685,00004,2.228564,5.32593,99.97
686,00004,2.190032,5.32571,99.97
687,00004,2.124024,5.32384,99.98
688,00004,2.249826,5.32400,99.98
689,00006,2.177679,5.32655,99.99
690,00004,2.233349,5.32693,99.99
691,00004,2.191169,5.32809,99.99
692,00004,2.219064,5.32810,99.99
693,00004,2.153929,5.32741,99.98
694,00004,2.215835,5.32701,99.98
695,00004,2.167584,5.33520,99.98
696,00004,2.205724,5.34048,99.98
697,00004,2.285220,5.34093,99.99
698,00004,2.246996,5.34236,99.99
699,00004,2.140582,5.33924,99.99
700,00004,2.281706,5.33841,99.99
701,00004,2.224430,5.34088,99.98
702,00004,2.220458,5.34264,99.99
703,00004,2.213745,5.33943,99.98
704,00004,2.260403,5.33536,99.98
705,00004,2.187905,5.33309,99.98
706,00004,2.208840,5.33049,99.98
707,00004,2.217153,5.32957,99.99
708,00005,2.245101,5.32778,99.99
709,00004,2.158403,5.32547,99.98
710,00004,2.192077,5.32349,99.98
711,00004,2.241450,5.32117,99.97
712,00004,2.260964,5.32588,99.98
713,00004,2.256533,5.33169,99.98
714,00004,2.193318,5.33388,99.98
715,00004,2.176480,5.33204,99.98
716,00004,2.231500,5.33268,99.98
717,00004,2.164619,5.33635,100.00
718,00004,2.191785,5.33820,99.99
719,00005,2.200049,5.34183,99.99
720,00004,2.156386,5.34213,99.99
721,00004,2.256098,5.34293,99.99
722,00004,2.171408,5.34176,99.98
723,00004,2.223096,5.34154,99.98
724,00004,2.251257,5.34242,99.98
725,00004,2.132214,5.34510,99.99
726,00004,2.176194,5.34475,99.99
727,00004,2.135468,5.34147,99.99
728,00004,2.172587,5.33482,99.99
729,00004,2.254604,5.33552,99.99
730,00004,2.212142,5.33356,99.99
731,00004,2.206138,5.33559,99.99
