Epoch  78 | Time     4 | Train Loss 5.6491 | Test Loss 5.546 | Test Error 99.97
Epoch 102 | Time     4 | Train Loss 3.6944 | Test Loss 5.421 | Test Error 100.00
Epoch  79 | Time     5 | Train Loss 5.6412 | Test Loss 5.509 | Test Error 99.96
Epoch 103 | Time     5 | Train Loss 3.6699 | Test Loss 5.420 | Test Error 100.00
Epoch  80 | Time     5 | Train Loss 5.6363 | Test Loss 5.493 | Test Error 99.94
Epoch 104 | Time     4 | Train Loss 3.6594 | Test Loss 5.421 | Test Error 100.00
Epoch  81 | Time     4 | Train Loss 5.6315 | Test Loss 5.480 | Test Error 99.93
Epoch 105 | Time     4 | Train Loss 3.6789 | Test Loss 5.421 | Test Error 100.00
Epoch  82 | Time     5 | Train Loss 5.6130 | Test Loss 5.460 | Test Error 99.90
Epoch 106 | Time     4 | Train Loss 3.6253 | Test Loss 5.422 | Test Error 100.00
Epoch  83 | Time     4 | Train Loss 5.6252 | Test Loss 5.450 | Test Error 99.87
Epoch 107 | Time     4 | Train Loss 3.6444 | Test Loss 5.422 | Test Error 100.00
Epoch  84 | Time     5 | Train Loss 5.6271 | Test Loss 5.442 | Test Error 99.82
Epoch 108 | Time     4 | Train Loss 3.6311 | Test Loss 5.422 | Test Error 100.00
Epoch  85 | Time     4 | Train Loss 5.6532 | Test Loss 5.440 | Test Error 99.82
Epoch 109 | Time     4 | Train Loss 3.6070 | Test Loss 5.422 | Test Error 100.00
Epoch  86 | Time     4 | Train Loss 5.6597 | Test Loss 5.438 | Test Error 99.82
Epoch 110 | Time     4 | Train Loss 3.6099 | Test Loss 5.422 | Test Error 100.00
Epoch  87 | Time     4 | Train Loss 5.5669 | Test Loss 5.432 | Test Error 99.81
Epoch 111 | Time     4 | Train Loss 3.6076 | Test Loss 5.420 | Test Error 100.00
Epoch  88 | Time     5 | Train Loss 5.6020 | Test Loss 5.418 | Test Error 99.77
Epoch 112 | Time     4 | Train Loss 3.6069 | Test Loss 5.419 | Test Error 100.00
Epoch  89 | Time     4 | Train Loss 5.5668 | Test Loss 5.412 | Test Error 99.76
Epoch 113 | Time     4 | Train Loss 3.5818 | Test Loss 5.419 | Test Error 100.00
Epoch  90 | Time     4 | Train Loss 5.5787 | Test Loss 5.411 | Test Error 99.75
Epoch 114 | Time     4 | Train Loss 3.5953 | Test Loss 5.419 | Test Error 100.00
Epoch  91 | Time     4 | Train Loss 5.5650 | Test Loss 5.406 | Test Error 99.73
Epoch 115 | Time     4 | Train Loss 3.5971 | Test Loss 5.418 | Test Error 100.00
Epoch  92 | Time     4 | Train Loss 5.5834 | Test Loss 5.407 | Test Error 99.71
Epoch 116 | Time     4 | Train Loss 3.5605 | Test Loss 5.417 | Test Error 100.00
Epoch  93 | Time     4 | Train Loss 5.5536 | Test Loss 5.414 | Test Error 99.75
Epoch 117 | Time     4 | Train Loss 3.5469 | Test Loss 5.415 | Test Error 100.00
Epoch  94 | Time     4 | Train Loss 5.5173 | Test Loss 5.422 | Test Error 99.78
Epoch 118 | Time     4 | Train Loss 3.5880 | Test Loss 5.412 | Test Error 100.00
Epoch  95 | Time     4 | Train Loss 5.5535 | Test Loss 5.416 | Test Error 99.78
Epoch 119 | Time     4 | Train Loss 3.5305 | Test Loss 5.409 | Test Error 100.00
Epoch  96 | Time     5 | Train Loss 5.5260 | Test Loss 5.415 | Test Error 99.77
Epoch 120 | Time     4 | Train Loss 3.5730 | Test Loss 5.405 | Test Error 100.00
Epoch  97 | Time     4 | Train Loss 5.5026 | Test Loss 5.404 | Test Error 99.74
Epoch 121 | Time     4 | Train Loss 3.5455 | Test Loss 5.405 | Test Error 100.00
Epoch 122 | Time     4 | Train Loss 3.5216 | Test Loss 5.404 | Test Error 100.00
Epoch  98 | Time     4 | Train Loss 5.4742 | Test Loss 5.406 | Test Error 99.75
Epoch  99 | Time     4 | Train Loss 5.5248 | Test Loss 5.410 | Test Error 99.80
Epoch 123 | Time     4 | Train Loss 3.5169 | Test Loss 5.404 | Test Error 100.00
Epoch 124 | Time     4 | Train Loss 3.5178 | Test Loss 5.403 | Test Error 100.00
Epoch 100 | Time     6 | Train Loss 5.4733 | Test Loss 5.418 | Test Error 99.83
Epoch 125 | Time     4 | Train Loss 3.4649 | Test Loss 5.402 | Test Error 100.00
Epoch 101 | Time     5 | Train Loss 5.4410 | Test Loss 5.412 | Test Error 99.80
Epoch 126 | Time     4 | Train Loss 3.5469 | Test Loss 5.401 | Test Error 100.00
Epoch 102 | Time     4 | Train Loss 5.4561 | Test Loss 5.416 | Test Error 99.80
Epoch 127 | Time     4 | Train Loss 3.4994 | Test Loss 5.401 | Test Error 100.00
Epoch 103 | Time     5 | Train Loss 5.4584 | Test Loss 5.413 | Test Error 99.79
Epoch 128 | Time     4 | Train Loss 3.4605 | Test Loss 5.401 | Test Error 100.00
Epoch 104 | Time     4 | Train Loss 5.4189 | Test Loss 5.416 | Test Error 99.81
Epoch 129 | Time     4 | Train Loss 3.5424 | Test Loss 5.402 | Test Error 100.00
Epoch 105 | Time     4 | Train Loss 5.4367 | Test Loss 5.413 | Test Error 99.81
Epoch 130 | Time     4 | Train Loss 3.5274 | Test Loss 5.402 | Test Error 100.00
Epoch 106 | Time     4 | Train Loss 5.4244 | Test Loss 5.422 | Test Error 99.81
Epoch 131 | Time     4 | Train Loss 3.4521 | Test Loss 5.401 | Test Error 100.00
Epoch 107 | Time     4 | Train Loss 5.4409 | Test Loss 5.429 | Test Error 99.83
Epoch 132 | Time     4 | Train Loss 3.4260 | Test Loss 5.399 | Test Error 100.00
Epoch 108 | Time     4 | Train Loss 5.4139 | Test Loss 5.426 | Test Error 99.82
Epoch 133 | Time     4 | Train Loss 3.4713 | Test Loss 5.399 | Test Error 100.00
Epoch 109 | Time     4 | Train Loss 5.3801 | Test Loss 5.424 | Test Error 99.81
Epoch 134 | Time     4 | Train Loss 3.4389 | Test Loss 5.399 | Test Error 100.00
Epoch 110 | Time     4 | Train Loss 5.3863 | Test Loss 5.430 | Test Error 99.83
Epoch 135 | Time     4 | Train Loss 3.4626 | Test Loss 5.398 | Test Error 100.00
Epoch 111 | Time     4 | Train Loss 5.4103 | Test Loss 5.427 | Test Error 99.82
Epoch 136 | Time     4 | Train Loss 3.4489 | Test Loss 5.400 | Test Error 100.00
Epoch 112 | Time     5 | Train Loss 5.3606 | Test Loss 5.417 | Test Error 99.79
Epoch 137 | Time     4 | Train Loss 3.4752 | Test Loss 5.401 | Test Error 100.00
Epoch 113 | Time     4 | Train Loss 5.3461 | Test Loss 5.414 | Test Error 99.78
Epoch 138 | Time     4 | Train Loss 3.4163 | Test Loss 5.401 | Test Error 100.00
Epoch 114 | Time     4 | Train Loss 5.3640 | Test Loss 5.408 | Test Error 99.75
Epoch 139 | Time     4 | Train Loss 3.4144 | Test Loss 5.399 | Test Error 100.00
Epoch 115 | Time     4 | Train Loss 5.3619 | Test Loss 5.403 | Test Error 99.72
Epoch 140 | Time     4 | Train Loss 3.4213 | Test Loss 5.396 | Test Error 100.00
Epoch 116 | Time     4 | Train Loss 5.3665 | Test Loss 5.395 | Test Error 99.70
Epoch 141 | Time     4 | Train Loss 3.4605 | Test Loss 5.394 | Test Error 100.00
Epoch 117 | Time     4 | Train Loss 5.3123 | Test Loss 5.401 | Test Error 99.71
Epoch 142 | Time     4 | Train Loss 3.4064 | Test Loss 5.393 | Test Error 100.00
Epoch 118 | Time     5 | Train Loss 5.3269 | Test Loss 5.397 | Test Error 99.71
Epoch 143 | Time     4 | Train Loss 3.4343 | Test Loss 5.391 | Test Error 100.00
Epoch 119 | Time     4 | Train Loss 5.2703 | Test Loss 5.402 | Test Error 99.72
Epoch 144 | Time     4 | Train Loss 3.4471 | Test Loss 5.387 | Test Error 100.00
Epoch 120 | Time     4 | Train Loss 5.3214 | Test Loss 5.394 | Test Error 99.71
Epoch 145 | Time     4 | Train Loss 3.4266 | Test Loss 5.383 | Test Error 100.00
Epoch 121 | Time     4 | Train Loss 5.3294 | Test Loss 5.383 | Test Error 99.68
Epoch 146 | Time     4 | Train Loss 3.3802 | Test Loss 5.379 | Test Error 100.00
Epoch 122 | Time     4 | Train Loss 5.2983 | Test Loss 5.393 | Test Error 99.67
Epoch 147 | Time     4 | Train Loss 3.3960 | Test Loss 5.374 | Test Error 100.00
Epoch 123 | Time     4 | Train Loss 5.2432 | Test Loss 5.403 | Test Error 99.70
Epoch 148 | Time     4 | Train Loss 3.3683 | Test Loss 5.372 | Test Error 100.00
Epoch 124 | Time     4 | Train Loss 5.2303 | Test Loss 5.402 | Test Error 99.71
Epoch 149 | Time     4 | Train Loss 3.3337 | Test Loss 5.368 | Test Error 100.00
Epoch 125 | Time     4 | Train Loss 5.2080 | Test Loss 5.396 | Test Error 99.71
Epoch 150 | Time     4 | Train Loss 3.4266 | Test Loss 5.364 | Test Error 100.00
